Provincia,Partido,Localidad,Otras Velocidades,Hasta 512 Kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Adsl,Cablemodem,Dial Up,Fibra Optica,Otras Tecnologias,Satelital,Wimax,Wireless,Población,Latitud,Longitud
La Pampa,Guatraché,Perú,0.0,0.0,0.0,28.0,7.0,4.0,0.0,0.0,0,0,0,0,0,0,0,39,39,-37.6623849438401,-64.1373213494442
La Pampa,Guatraché,Santa Teresa,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,0,0,0,466,-37.5749339058948,-63.4328864695669
La Pampa,Hucal,Abramo,2.0,0.0,0.0,61.0,8.0,0.0,0.0,0.0,0,0,0,1,0,1,0,69,312,-37.8943313295474,-63.8515025914131
La Pampa,Hucal,Bernasconi,1.0,1.0,0.0,569.0,121.0,6.0,0.0,0.0,37,0,0,1,0,1,0,659,1577,-37.9020681912485,-63.7450793526802
La Pampa,Hucal,General San Martín (Est. Villa Alba),1.0,0.0,0.0,824.0,11.0,0.0,0.0,0.0,0,0,0,2,0,0,0,826,2576,-37.9785301335454,-63.6065854529977
La Pampa,Hucal,Jacinto Arauz,5.0,2.0,0.0,704.0,0.0,0.0,0.0,0.0,631,0,0,2,0,2,0,76,2434,-38.0837587172211,-63.4321816643775
La Pampa,Lihuel Calel,Cuchillo Co,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,2,0,0,208,-38.3336784745408,-64.6422526958764
La Pampa,Limay Mahuida,La Reforma,0.0,1.0,0.0,65.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,65,221,-37.5520049423349,-66.2268538972728
La Pampa,Limay Mahuida,Limay Mahuida,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,16,75,-37.1597120530545,-66.6745400356471
La Pampa,Loventué,Carro Quemado,1.0,1.0,0.0,50.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,50,301,-36.47556498406,-65.3429160249895
La Pampa,Loventué,Loventué,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,111,-36.1887459763907,-65.2899702728719
La Pampa,Loventué,Luan Toro,0.0,1.0,0.0,67.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,67,689,-36.2016818772905,-65.0972782402489
La Pampa,Loventué,Telén,1.0,1.0,0.0,198.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,198,1240,-36.2640564040186,-65.5097731802402
La Pampa,Loventué,Victorica,2.0,1.0,0.0,482.0,0.0,0.0,0.0,0.0,0,0,0,2,0,1,0,482,5703,-36.2048593679219,-65.4403752727095
La Pampa,Maracó,Agustoni,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,29,284,-35.7811018772957,-63.3932493460357
La Pampa,Maracó,Dorila,1.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,53,377,-35.7763229509013,-63.716840693317
La Pampa,Maracó,General Pico,13063.0,3.0,38.0,6614.0,841.0,377.0,3.0,0.0,2535,1,91,15376,91,1,0,3015,56795,-35.6633805937206,-63.760929267739
La Pampa,Maracó,Speluzzi,1.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,41,367,-35.547293621716,-63.8200403343494
La Pampa,Puelén,25 De Mayo,18.0,0.0,0.0,1846.0,113.0,0.0,0.0,0.0,0,0,0,1027,0,0,0,950,7878,-37.7697053748681,-67.7172958236186
La Pampa,Puelén,Casa De Piedra,2.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,47,154,-38.2230515311115,-67.1709263654639
La Pampa,Puelén,Puelén,1.0,1.0,0.0,57.0,0.0,68.0,0.0,0.0,0,0,1,0,0,2,0,125,357,-37.3400655492209,-67.6218500509991
La Pampa,Quemú Quemú,Colonia Barón,0.0,1.0,0.0,631.0,5.0,0.0,0.0,0.0,0,0,2,550,0,1,0,90,2804,-36.1513889624763,-63.8541959060258
La Pampa,Quemú Quemú,Miguel Cané,106.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,105,1,0,0,803,-36.1549581794141,-63.5121543730908
La Pampa,Quemú Quemú,Quemú Quemú,115.0,1.0,0.0,143.0,0.0,0.0,0.0,0.0,0,0,1,2,113,1,0,143,3714,-36.053677480752,-63.5632432919433
La Pampa,Quemú Quemú,Relmo,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,26,0,0,0,120,-36.2573837868412,-63.4481302030919
La Pampa,Quemú Quemú,Villa Mirasol,0.0,0.0,0.0,171.0,4.0,3.0,0.0,0.0,0,0,0,0,0,0,0,169,546,-36.0757513459043,-63.8875837941037
La Pampa,Rancul,Caleufú,2.0,1.0,0.0,541.0,68.0,0.0,0.0,0.0,0,350,0,2,0,1,0,0,2014,-35.5928646334622,-64.5586842581366
La Pampa,Rancul,La Maruja,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,150,0,0,0,1,0,0,1168,-35.671688678266,-64.940569826581
La Pampa,Rancul,Parera,3.0,1.0,0.0,686.0,15.0,25.0,0.0,2.0,0,0,0,455,0,1,0,272,2030,-35.1462930750947,-64.5006491231723
La Pampa,Rancul,Quetrequén,1.0,1.0,0.0,147.0,1.0,4.0,0.0,0.0,0,0,0,1,0,1,0,152,392,-35.0548439319726,-64.5213693396743
La Pampa,Rancul,Rancul,3.0,2.0,0.0,695.0,19.0,1.0,0.0,0.0,0,0,0,158,0,2,0,677,3322,-35.0661985558406,-64.683114985952
La Pampa,Realicó,Adolfo Van Praet,0.0,1.0,0.0,26.0,3.0,0.0,0.0,0.0,0,6,0,0,0,1,0,23,279,-35.0179130302315,-64.035117861781
La Pampa,Realicó,Alta Italia,13.0,1.0,0.0,389.0,61.0,0.0,0.0,0.0,0,0,0,0,0,1,0,463,1350,-35.3338595551664,-64.1182405361085
La Pampa,Realicó,Damián Maisonave (Est. Simson),2.0,0.0,0.0,100.0,5.0,4.0,0.0,0.0,0,0,0,2,0,0,0,109,300,-35.0415558502239,-64.3847126106129
La Pampa,Realicó,Embajador Martini,1.0,1.0,0.0,538.0,2.0,13.0,0.0,0.0,15,0,0,7,0,1,0,531,1336,-35.3861854808904,-64.2836857257322
La Pampa,Realicó,Falucho,0.0,1.0,0.0,73.0,8.0,1.0,0.0,0.0,0,0,0,0,0,1,0,82,177,-35.1890814426625,-64.1038732251149
La Pampa,Realicó,Ingeniero Luiggi,1.0,2.0,0.0,1633.0,21.0,0.0,3.0,0.0,0,0,0,240,0,2,0,1418,4659,-35.3837504384968,-64.4685685991593
La Pampa,Realicó,Ojeda,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,9,70,-35.3068277686526,-64.0054725550363
La Pampa,Realicó,Realicó,1.0,1.0,0.0,2562.0,253.0,372.0,0.0,148.0,171,0,1,1931,0,1,0,1232,7343,-35.0368857536117,-64.2454209673953
La Pampa,Toay,Toay,2.0,1.0,0.0,1903.0,742.0,999.0,549.0,2180.0,225,5332,0,557,0,1,0,259,11626,-36.6751577652887,-64.3803253806581
La Pampa,Trenel,Arata,1.0,1.0,0.0,256.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,256,1026,-35.6381231858073,-64.3574125644643
La Pampa,Trenel,Metileo,0.0,1.0,0.0,60.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,60,483,-35.7732438729278,-63.9428308886673
La Pampa,Trenel,Trenel,1.0,2.0,0.0,929.0,4.0,75.0,0.0,0.0,84,652,0,0,0,2,0,274,3387,-35.6941743318846,-64.1358999676104
La Pampa,Utracán,Ataliva Roca,2.0,1.0,0.0,242.0,21.0,47.0,0.0,0.0,0,0,0,2,0,1,0,310,707,-37.0323315728651,-64.2865724433513
La Pampa,Utracán,Chacharramendi,0.0,2.0,0.0,85.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,0,85,226,-37.3318147762102,-65.650772794634
La Pampa,Utracán,Colonia Santa María,5.0,0.0,0.0,0.0,137.0,4.0,0.0,0.0,0,0,1,1,0,0,0,145,289,-37.4952435783299,-64.2248805481774
La Pampa,Utracán,General Acha,12.0,1.0,0.0,3447.0,1007.0,262.0,41.0,0.0,551,2915,0,970,0,3,0,333,12184,-37.373672668717,-64.6038964711256
La Pampa,Utracán,Quehué,1.0,1.0,0.0,0.0,227.0,15.0,0.0,0.0,0,0,0,1,0,1,0,242,422,-37.1212005028742,-64.5133661628312
La Pampa,Utracán,Unanué,1.0,0.0,0.0,33.0,22.0,1.0,0.0,0.0,0,0,0,1,0,0,0,56,69,-37.5439767222425,-64.3525554864311
La Rioja,Arauco,Aimogasta,0.0,1.0,0.0,79.0,105.0,1589.0,485.0,5.0,99,2031,0,4,0,1,0,87,12249,-28.5589898446523,-66.8272851017638
La Rioja,Arauco,Estación Mazán,0.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0,0,0,0,0,1,0,14,407,-28.6648262993633,-66.5166195609666
La Rioja,Arauco,Villa Mazán,0.0,0.0,0.0,0.0,0.0,157.0,0.0,0.0,0,0,0,0,0,0,0,156,1090,-28.6586281834455,-66.5552758852995
La Rioja,Capital,La Rioja,2.0,2.0,0.0,2077.0,2057.0,4861.0,862.0,47303.0,4720,35425,4,15938,6,4,0,1223,178872,-29.4217827668094,-66.856675379963
La Rioja,Castro Barros,Aminga,0.0,0.0,0.0,3.0,0.0,171.0,1.0,0.0,0,158,0,1,0,0,0,17,833,-28.8554609845772,-66.9376617661779
La Rioja,Castro Barros,Anillaco,0.0,1.0,0.0,10.0,0.0,442.0,7.0,3.0,0,453,0,1,0,1,0,0,1573,-28.8155900262519,-66.9439245714904
La Rioja,Castro Barros,Anjullón,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0,44,0,1,0,0,0,64,418,-28.7272509428901,-66.9328944677286
La Rioja,Castro Barros,Chuquis,0.0,0.0,0.0,2.0,0.0,38.0,0.0,0.0,0,39,0,0,0,0,0,0,236,-28.8979801822511,-66.9765194957537
La Rioja,Castro Barros,Los Molinos,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0,49,0,0,0,0,0,4,244,-28.7544152281739,-66.9389202939919
La Rioja,Castro Barros,Pinchas,0.0,0.0,0.0,4.0,0.0,50.0,0.0,0.0,0,49,0,0,0,0,0,1,390,-28.9370760269909,-66.9665171496043
La Rioja,Castro Barros,San Pedro,0.0,0.0,0.0,1.0,0.0,73.0,0.0,0.0,0,28,0,0,0,0,0,45,298,-28.6697090457958,-66.9281338379098
La Rioja,Castro Barros,Santa Vera Cruz,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0,0,0,0,0,0,0,5,123,-28.683504219205,-66.9654939868506
La Rioja,Chamical,Chamical,0.0,1.0,0.0,99.0,103.0,2346.0,651.0,5.0,210,2963,0,8,0,1,0,9,12919,-30.3772951613356,-66.3240368838483
La Rioja,Chilecito,Chilecito,0.0,0.0,0.0,506.0,548.0,3420.0,1168.0,3258.0,917,4514,0,3336,0,0,0,96,33724,-29.1634978575196,-67.5074284990176
La Rioja,Chilecito,Colonia Anguinán,0.0,0.0,0.0,1.0,0.0,202.0,27.0,0.0,0,161,0,1,0,0,0,69,225,-29.2540980171571,-67.426136513409
La Rioja,Chilecito,Colonia Vichigasta,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,272,-29.4490716382323,-67.4914198732182
La Rioja,Chilecito,La Puntilla,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,-29.1484698105368,-67.4191244361359
La Rioja,Chilecito,Los Sarmientos,0.0,0.0,0.0,0.0,0.0,114.0,43.0,1.0,0,157,0,0,0,0,0,0,0,-29.1517467165263,-67.4826010369502
La Rioja,Chilecito,Malligasta,0.0,0.0,0.0,1.0,0.0,183.0,0.0,0.0,0,0,0,0,0,0,0,185,1668,-29.1772024890585,-67.4408316312776
La Rioja,Chilecito,Nonogasta,0.0,1.0,0.0,13.0,59.0,709.0,139.0,1.0,83,824,0,1,0,1,0,6,6937,-29.3040959439682,-67.5072784622018
La Rioja,Chilecito,San Miguel,0.0,0.0,0.0,0.0,0.0,50.0,13.0,0.0,0,60,0,0,0,0,0,5,0,-29.184674818415,-67.4780826682806
La Rioja,Chilecito,San Nicolás,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0,0,0,0,0,0,0,7,153,-29.1217634888802,-67.475895961327
La Rioja,Chilecito,Santa Florentina,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0,0,0,0,0,0,0,7,129,-29.1330615805931,-67.5576081781931
La Rioja,Chilecito,Sañogasta,0.0,0.0,0.0,0.0,0.0,215.0,0.0,0.0,0,0,0,0,0,0,0,219,1805,-29.3203738957214,-67.6277959527272
La Rioja,Chilecito,Tilimuqui,0.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,0,0,0,0,0,0,0,13,279,-29.1494438672162,-67.4296645756575
La Rioja,Chilecito,Vichigasta,2.0,0.0,0.0,8.0,27.0,107.0,0.0,0.0,42,0,0,1,0,2,0,103,3016,-29.4885973737241,-67.50228520978
La Rioja,Coronel Felipe Varela,Aicuña,0.0,0.0,0.0,6.0,0.0,39.0,0.0,0.0,0,0,0,0,0,0,0,47,219,-29.4772470519152,-67.7729134098149
La Rioja,Coronel Felipe Varela,Guandacol,0.0,1.0,0.0,0.0,1.0,385.0,0.0,0.0,1,379,0,2,0,1,0,0,2525,-29.509859321691,-68.5522045398452
La Rioja,Coronel Felipe Varela,Los Palacios,0.0,0.0,0.0,1.0,0.0,104.0,0.0,0.0,0,0,0,0,0,0,0,107,512,-29.3713119289112,-68.2271328398885
La Rioja,Coronel Felipe Varela,Pagancillo,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0,0,0,1,0,0,0,126,861,-29.5412536132819,-68.0970404734465
La Rioja,Coronel Felipe Varela,Santa Clara,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0,0,0,0,0,0,0,41,0,-29.361377257847,-68.6264098036917
La Rioja,Coronel Felipe Varela,Villa Unión,0.0,1.0,0.0,4.0,0.0,1206.0,171.0,3.0,0,1122,0,3,0,1,0,258,4931,-29.3227046223336,-68.2230741292594
La Rioja,Famatina,Angulos,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0,0,0,0,0,0,0,6,127,-28.6595753462725,-67.6529605556859
La Rioja,Famatina,Campanas,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0,0,0,1,0,0,0,161,892,-28.5560208289878,-67.6264406513676
La Rioja,Famatina,Chañarmuyo,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0,0,0,0,0,0,0,29,268,-28.6123449106977,-67.5874723425836
La Rioja,Famatina,Famatina,0.0,0.0,0.0,0.0,1.0,204.0,0.0,0.0,1,202,0,2,0,0,0,5,2466,-28.9291000348798,-67.5207596756722
La Rioja,Famatina,La Cuadra,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0,0,0,0,0,0,0,22,122,-28.4724817643376,-67.6918652569621
La Rioja,Famatina,Pituil,0.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0,0,0,0,0,0,0,0,153,849,-28.5815077306519,-67.4508379497995
La Rioja,Famatina,Santa Cruz,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0,0,0,0,0,0,0,22,221,-28.4907371198,-67.6899252647169
La Rioja,General Angel V. Peñaloza,Punta De Los Llanos,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0,0,0,1,0,0,0,93,532,-30.165433857594,-66.556575245663
La Rioja,General Angel V. Peñaloza,Tama,0.0,0.0,0.0,6.0,2.0,154.0,0.0,0.0,8,0,0,1,0,0,0,149,1164,-30.5173084388038,-66.5413792482074
La Rioja,General Belgrano,Chañar,0.0,0.0,0.0,1.0,5.0,90.0,0.0,0.0,8,0,0,1,0,0,0,90,903,-30.5590304532238,-65.9735931205601
La Rioja,General Belgrano,Loma Blanca,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,0,0,731,-30.6446137810742,-66.238741686799
La Rioja,General Belgrano,Olta,0.0,1.0,0.0,1.0,1.0,870.0,221.0,3.0,0,1069,0,1,0,1,0,6,4547,-30.6399759885817,-66.278060412461
La Rioja,General Juan F. Quiroga,Malanzán,0.0,0.0,0.0,0.0,0.0,347.0,0.0,0.0,0,0,0,1,0,0,0,347,1335,-30.815543887629,-66.6194814951279
La Rioja,General Juan F. Quiroga,Nácate,0.0,0.0,0.0,3.0,0.0,72.0,0.0,0.0,0,0,0,0,0,0,0,78,359,-30.8640381344546,-66.4051056083957
La Rioja,General Juan F. Quiroga,Portezuelo,0.0,0.0,0.0,0.0,0.0,224.0,0.0,0.0,0,0,0,1,0,0,0,227,1017,-30.847619186484,-66.7186798501751
La Rioja,General Juan F. Quiroga,San Antonio,0.0,0.0,0.0,1.0,0.0,31.0,0.0,0.0,0,0,0,0,0,0,0,33,149,-31.0900907205412,-66.7571869922571
La Rioja,General Lamadrid,Villa Castelli,0.0,0.0,0.0,0.0,0.0,267.0,0.0,0.0,0,0,0,1,0,0,0,255,1697,-29.0207515543035,-68.2253713917754
La Rioja,General Ocampo,Ambil,0.0,0.0,0.0,1.0,0.0,32.0,0.0,0.0,0,0,0,0,0,0,0,34,214,-31.1413359277957,-66.3603819377386
La Rioja,General Ocampo,Milagro,0.0,0.0,0.0,0.0,0.0,640.0,174.0,5.0,0,813,0,1,0,0,0,0,3494,-31.0131717520524,-65.9882554540382
La Rioja,General Ocampo,Santa Rita De Catuna,0.0,1.0,0.0,0.0,0.0,269.0,35.0,0.0,0,299,0,0,0,1,0,0,1695,-30.9665198359206,-66.2356607957536
La Rioja,General San Martín,Ulapes,0.0,0.0,0.0,10.0,0.0,681.0,8.0,3.0,0,691,0,2,0,0,0,1,3205,-31.582978877023,-66.2514026305989
La Rioja,Independencia,Amaná,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,148,-30.0611119791655,-67.5084950612514
La Rioja,Independencia,Patquía,0.0,0.0,0.0,14.0,14.0,285.0,0.0,0.0,28,0,0,1,0,0,0,279,1808,-30.0522114405959,-66.8915886798437
La Rioja,Rosario Vera Peñaloza,Chepes,0.0,1.0,0.0,259.0,87.0,1494.0,865.0,4.0,2,2312,0,3,0,1,0,373,11039,-31.3506186314416,-66.6046417930744
La Rioja,Rosario Vera Peñaloza,Desiderio Tello,0.0,0.0,0.0,1.0,0.0,116.0,0.0,0.0,0,0,0,0,0,0,0,116,733,-31.2240295500516,-66.3334915975105
La Rioja,San Blas De Los Sauces,Alpasinche,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0,0,0,2,0,0,0,49,0,-28.3536422425472,-67.080433367311
La Rioja,San Blas De Los Sauces,Andolucas,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0,0,0,0,0,0,0,16,0,-28.5555816291232,-67.1592836516078
La Rioja,San Blas De Los Sauces,Chaupihuasi,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0,0,0,0,0,0,0,16,0,-28.3536422425472,-67.080433367311
La Rioja,San Blas De Los Sauces,Cuipan,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0,0,0,0,0,0,0,50,0,-28.4517974906601,-67.1178978512143
La Rioja,San Blas De Los Sauces,Las Talas,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0,1,0,0,0,0,0,42,0,-28.4517974906601,-67.1178978512143
La Rioja,San Blas De Los Sauces,Los Robles,0.0,1.0,0.0,0.0,0.0,106.0,0.0,0.0,0,1,0,3,0,1,0,102,0,-28.4517974906601,-67.1178978512143
La Rioja,San Blas De Los Sauces,Salicas - San Blas,0.0,0.0,0.0,0.0,0.0,158.0,0.0,0.0,0,0,0,0,0,0,0,156,3918,-28.4076258105119,-67.0961546311904
La Rioja,San Blas De Los Sauces,San Blas,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0,0,0,0,0,0,0,48,0,-28.407625810512,-67.0961546311905
